,,,E16.5#14-51-2,E16.5#14-51-4,E16.5#14-51-9,E18.5 # 1,E18.5 # 2,E18.5 # 3,P0.5 A,P0.5 B,P0.5 C,P1 d,P1 h,P1 i ,P1.5 c,P1.5 d,P1.5 g,P2.5 c,P2.5 g,P2.5 j,P4 a,P4 b,P4 f,P5 a,P5 b,P5 f,P7 a,P7 b,P7 c,P10 d,P10 e,P10 f,P13.5 a,P13.5 b,P13.5 c,P15 a,P15 b,P15 c,P19 c,P19 e,P19 f,P23 d,P23 e,P23 f ,P28c,P28d,P28e
Lysosomal alpha-mannosidase ,O09159,115 kDa,1.64,3.46,3.61,4.76,4.62,7.60,9.29,9.96,3.76,10.04,13.23,12.62,4.93,5.27,2.82,11.91,10.97,5.23,1.64,2.30,0.84,2.83,4.12,1.64,8.55,5.79,7.90,11.51,5.09,11.82,6.82,8.13,11.09,11.28,8.13,0.00,1.83,3.74,7.41,1.72,0.75,0.93,5.46,0.00,0.00
Lysosomal protective protein ,P16675 (+1),54 kDa,0.00,0.00,0.00,0.00,0.00,0.00,1.16,0.00,1.25,0.00,1.20,0.00,0.99,0.00,0.00,0.99,0.00,0.00,0.00,0.00,2.51,0.00,4.12,1.64,1.90,0.00,1.98,2.66,0.00,0.91,1.95,1.81,0.92,0.00,2.71,0.00,0.91,0.94,0.93,1.72,0.00,0.00,0.00,0.00,0.00
Lysosomal Pro-X carboxypeptidase ,Q7TMR0,55 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,1.05,0.00,0.77,1.68,0.00,0.00,1.64,0.95,0.83,1.98,3.54,0.85,0.00,0.97,3.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lysosome-associated membrane glycoprotein 1 ,P11438 (+2),44 kDa,3.28,0.00,0.00,2.38,0.00,0.00,0.00,2.49,0.00,0.00,1.20,0.00,1.97,0.00,0.00,0.00,2.19,0.00,0.00,0.77,2.51,0.94,0.00,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,4.52,0.00,0.00,0.90,0.00,2.74,0.00,3.71,3.45,0.75,3.74,0.78,4.83,4.35
Lysosome-associated membrane glycoprotein 2 ,P17047 (+1),46 kDa,1.64,0.00,1.81,2.38,2.31,3.04,3.48,3.74,5.01,4.02,3.61,5.74,2.96,1.76,2.82,3.97,1.10,0.00,0.00,1.53,3.35,0.00,2.06,0.00,2.85,1.65,0.00,0.89,1.70,3.64,0.97,5.42,4.62,2.05,5.42,0.00,1.83,5.62,0.00,4.31,1.50,0.00,1.56,0.00,0.00
Lysozyme C-1 ,P17897,17 kDa,0.00,0.00,0.00,0.00,1.15,0.00,4.65,7.47,10.02,0.00,9.62,9.18,3.94,8.78,12.23,5.96,8.78,4.19,9.85,6.14,0.00,7.56,1.03,6.57,7.60,14.06,0.00,8.85,14.41,3.64,0.00,0.00,9.24,9.23,8.13,50.48,0.00,8.43,3.71,2.59,18.04,11.21,17.15,21.74,19.56
Lysozyme C-2 ,P08905,17 kDa,0.00,4.61,1.81,4.76,9.23,9.12,11.62,6.23,16.28,7.03,19.25,11.47,12.82,9.66,10.35,12.90,15.36,9.42,22.99,14.58,9.22,13.23,10.30,13.15,11.41,20.67,13.83,18.59,23.73,16.36,11.69,15.37,17.55,17.43,22.58,62.66,27.39,26.21,19.46,12.93,32.32,22.42,31.18,43.47,33.68
Lysyl oxidase homolog 1 ,P97873,67 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.00,1.70,2.73,0.00,1.81,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
m7GpppX diphosphatase ,Q9DAR7,39 kDa,0.00,0.00,0.00,2.38,2.31,0.00,0.00,2.49,0.00,3.01,2.41,2.29,0.99,0.00,0.00,0.00,0.00,0.00,0.82,0.00,1.68,0.00,2.06,3.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,1.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Malate dehydrogenase/ cytoplasmic ,P14152,37 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.51,0.00,0.00,0.00,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.72,0.00,0.00,0.00,0.00,0.00
Malate dehydrogenase/ mitochondrial ,P08249,36 kDa,41.05,57.61,79.45,53.50,45.02,53.20,42.98,52.31,38.82,32.14,38.50,58.50,54.24,42.17,42.32,39.70,48.28,33.48,35.31,36.83,26.82,30.24,64.87,44.36,51.32,23.15,68.16,32.75,36.45,35.45,42.87,38.87,38.80,32.82,37.93,52.22,31.05,36.51,33.36,32.75,30.81,36.43,38.20,32.61,29.33
Malectin ,Q6ZQI3,32 kDa,0.00,1.15,0.00,2.38,3.46,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,3.51,0.94,0.99,0.00,0.00,0.00,0.77,0.00,0.00,0.00,0.82,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.92,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.00,0.00,0.00,0.00,0.00
Malignant T-cell-amplified sequence 1 ,Q9DB27,21 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,2.30,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Malonyl-CoA-acyl carrier protein transacylase/ mitochondrial ,Q8R3F5,42 kDa,4.93,0.00,1.81,3.57,4.62,6.08,4.65,4.98,5.01,4.02,4.81,4.59,3.94,6.15,4.70,3.97,1.10,0.00,1.64,3.07,0.00,1.89,0.00,3.29,2.85,3.31,1.98,0.00,2.54,1.82,0.00,0.90,1.85,2.05,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mammalian ependymin-related protein 1 ,Q99M71,25 kDa,0.00,0.00,0.00,0.00,0.00,0.00,1.16,4.98,1.25,1.00,4.81,2.29,0.00,0.00,0.00,1.99,4.39,4.19,0.00,0.77,0.84,0.00,4.12,0.82,0.00,0.83,1.98,3.54,1.70,3.64,3.90,3.62,3.70,4.10,0.90,0.00,0.00,0.00,0.00,0.86,0.75,1.87,2.34,0.00,0.00
MARCKS-related protein ,P28667,20 kDa,6.57,2.30,7.22,3.57,4.62,3.04,1.16,2.49,1.25,2.01,2.41,2.29,0.99,2.64,1.88,3.97,3.29,3.14,2.46,3.07,3.35,3.78,3.09,2.46,0.95,3.31,0.00,0.00,4.24,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.91,2.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Membrane-associated progesterone receptor component 1 ,O55022,22 kDa,0.00,0.00,0.00,1.19,1.15,0.00,2.32,3.74,1.25,2.01,2.41,2.29,1.97,1.76,1.88,2.98,0.00,4.19,2.46,0.00,0.84,1.89,4.12,4.11,2.85,2.48,0.00,5.31,1.70,0.91,2.92,3.62,3.70,2.05,3.61,0.00,5.48,2.81,3.71,1.72,3.76,0.00,3.90,0.00,4.35
Methionine aminopeptidase 2 ,O08663,53 kDa,9.85,10.37,1.81,9.51,4.62,0.00,8.13,11.21,8.77,17.07,3.61,9.18,9.86,18.45,14.11,6.95,9.88,12.56,10.67,18.42,15.09,17.01,15.44,12.32,14.26,18.19,18.77,10.62,11.02,26.36,13.64,8.13,12.01,9.23,9.93,5.22,6.39,5.62,11.12,3.45,4.51,3.74,14.03,2.42,6.52
Methylcrotonoyl-CoA carboxylase beta chain/ mitochondrial ,Q3ULD5,61 kDa,0.00,0.00,0.00,0.00,1.15,0.00,0.00,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Methylmalonate-semialdehyde dehydrogenase [acylating]/ mitochondrial ,Q9EQ20,58 kDa,0.00,0.00,0.00,0.00,0.00,0.00,4.65,2.49,3.76,0.00,0.00,2.29,0.99,4.39,0.94,1.99,0.00,1.05,0.82,0.00,0.00,0.00,0.00,2.46,0.00,0.00,0.00,0.89,0.00,0.00,2.92,0.00,0.00,0.00,0.90,0.00,1.83,3.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MICOS complex subunit Mic19 ,Q9CRB9,26 kDa,0.00,0.00,0.00,0.00,1.15,0.00,2.32,1.25,2.50,0.00,1.20,1.15,0.00,1.76,0.00,2.98,1.10,0.00,0.00,0.00,0.00,1.89,0.00,0.82,0.00,0.83,1.98,3.54,3.39,1.82,7.80,2.71,2.77,5.13,0.90,0.00,3.65,4.68,1.85,3.45,2.25,0.00,3.12,0.00,2.17
Microfibrillar-associated protein 1 ,Q9CQU1,52 kDa,4.93,2.30,5.42,0.00,2.31,0.00,1.16,2.49,1.25,1.00,1.20,0.00,0.00,0.88,0.94,0.99,0.00,4.19,1.64,2.30,0.00,1.89,0.00,0.82,0.00,0.00,0.99,2.66,1.70,0.91,0.97,0.00,1.85,1.03,0.90,0.00,1.83,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Microtubule-associated protein 4 ,P27546,117 kDa,1.64,6.91,0.00,5.94,2.31,0.00,11.62,13.70,7.51,3.01,2.41,0.00,8.88,5.27,10.35,4.96,6.58,2.09,5.75,8.44,14.25,8.50,1.03,9.86,4.75,9.10,5.93,5.31,5.09,4.55,4.87,3.62,4.62,5.13,7.22,6.96,10.96,4.68,5.56,0.86,9.02,4.67,7.80,6.04,10.86
Microtubule-associated protein RP/EB family member 1 ,Q61166,30 kDa,0.00,0.00,0.00,0.00,0.00,0.00,1.16,0.00,0.00,4.02,1.20,3.44,0.99,2.64,0.94,1.99,0.00,2.09,0.00,0.00,0.00,0.00,0.00,0.82,0.00,1.65,0.00,0.00,2.54,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Microtubule-associated protein tau ,P10637,76 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.94,0.00,1.72,3.01,0.00,1.56,0.00,0.00
Mimecan ,Q62000,34 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,1.87,0.78,1.21,8.69
Mitochondrial fission 1 protein ,Q9CQ92,17 kDa,3.28,9.22,3.61,9.51,9.23,4.56,9.29,9.96,2.50,11.05,9.62,6.88,9.86,7.03,7.52,6.95,2.19,8.37,5.75,3.07,3.35,7.56,6.18,3.29,9.50,2.48,4.94,10.62,4.24,8.18,7.80,6.33,5.54,6.15,7.22,10.44,7.30,11.23,7.41,6.03,5.26,7.47,6.24,2.42,8.69
Mitochondrial import inner membrane translocase subunit Tim13 ,P62075,10 kDa,6.57,4.61,7.22,4.76,4.62,6.08,8.13,4.98,3.76,4.02,6.02,4.59,2.96,3.51,3.76,6.95,4.39,4.19,3.28,3.07,3.35,2.83,6.18,3.29,3.80,4.96,3.95,3.54,3.39,5.45,3.90,3.62,3.70,4.10,4.52,0.00,3.65,2.81,2.78,2.59,3.01,6.54,3.12,0.00,4.35
Mitotic checkpoint protein BUB3 ,Q9WVA3,37 kDa,8.21,16.13,12.64,8.32,9.23,7.60,0.00,0.00,0.00,0.00,3.61,3.44,7.89,5.27,3.76,2.98,3.29,3.14,4.11,2.30,2.51,5.67,4.12,10.68,1.90,1.65,3.95,1.77,8.48,8.18,0.97,2.71,0.00,0.00,4.52,0.00,2.74,6.55,4.63,4.31,0.75,0.00,1.56,0.00,0.00
Moesin ,P26041,68 kDa,45.97,33.41,41.53,53.50,49.64,51.68,87.11,79.71,91.41,47.21,84.21,73.41,97.62,81.70,88.40,75.43,84.50,63.82,111.66,86.71,98.90,131.34,95.75,109.27,70.33,93.44,98.79,71.69,79.67,79.99,98.41,87.68,91.46,113.83,101.14,198.42,147.01,128.25,147.34,106.86,123.25,121.42,109.91,66.42,85.82
Multifunctional methyltransferase subunit TRM112-like protein ,Q9DCG9,14 kDa,1.64,2.30,0.00,3.57,2.31,0.00,2.32,2.49,2.50,0.00,1.20,1.15,0.00,1.76,0.94,0.00,0.00,0.00,3.28,0.77,0.84,1.89,0.00,0.00,0.00,3.31,3.95,1.77,3.39,2.73,0.00,2.71,1.85,2.05,3.61,0.00,1.83,1.87,0.93,0.86,3.76,0.93,4.68,0.00,0.00
MYB-1b ,Q60951,36 kDa,24.63,19.59,18.06,17.83,26.55,16.72,1.16,8.72,10.02,4.02,8.42,8.03,5.92,7.03,2.82,4.96,9.88,4.19,7.39,14.58,9.22,3.78,3.09,10.68,4.75,11.58,7.90,2.66,11.87,10.91,5.85,6.33,6.47,6.15,5.42,19.15,18.26,7.49,7.41,8.62,12.78,2.80,8.57,0.00,8.69
Myeloblastin ,Q61096,28 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.02,0.00,0.00,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.00,1.77,0.00,0.91,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,1.72,1.50,0.00,1.56,0.00,0.00
Myeloid bactenecin (F1) ,O08692,19 kDa,0.00,0.00,0.00,1.19,3.46,3.04,8.13,11.21,15.03,16.07,27.67,16.06,21.69,12.30,11.29,17.87,17.56,15.69,7.39,7.67,5.87,6.61,5.15,7.39,22.81,17.37,7.90,29.21,17.80,19.09,12.67,11.75,15.71,19.49,9.93,31.33,15.52,21.53,17.61,22.41,12.78,11.21,14.81,19.32,29.33
Myeloperoxidase ,P11247 (+1),81 kDa,0.00,0.00,0.00,0.00,0.00,0.00,4.65,1.25,7.51,10.04,24.06,14.91,15.78,14.93,19.75,10.92,17.56,10.46,12.32,12.28,8.38,1.89,3.09,6.57,10.45,16.54,6.91,8.85,3.39,7.27,0.00,1.81,2.77,4.10,3.61,0.00,8.22,3.74,6.49,17.24,7.52,1.87,17.93,6.04,26.07
Myosin light chain 1/3/ skeletal muscle isoform ,P05977,21 kDa,32.84,5.76,7.22,22.59,2.31,4.56,0.00,0.00,0.00,11.05,0.00,2.29,2.96,0.00,0.00,1.99,3.29,0.00,7.39,1.53,0.00,0.00,0.00,0.82,0.00,0.00,0.00,0.00,0.00,1.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.41,0.00,8.45,3.26
Myosin light chain 3 ,P09542,22 kDa,21.35,39.17,36.11,5.94,4.62,7.60,1.16,2.49,2.50,3.01,0.00,3.44,0.00,4.39,2.82,0.00,4.39,1.05,0.82,0.77,1.68,0.94,3.09,0.82,0.95,1.65,1.98,0.00,0.85,2.73,3.90,0.00,0.92,0.00,0.00,0.00,6.39,1.87,0.00,3.45,1.50,9.34,5.46,12.08,5.43
Myosin light chain 4 ,P09541,21 kDa,19.70,26.50,25.28,7.13,9.23,0.00,0.00,4.98,3.76,0.00,2.41,10.32,4.93,0.00,0.00,0.00,12.07,0.00,2.46,6.14,0.00,0.00,6.18,0.00,1.90,4.13,5.93,0.00,1.70,3.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.31,2.25,13.08,0.00,13.28,5.43
Myosin light chain kinase/ smooth muscle ,Q6PDN3,213 kDa,0.00,0.00,0.00,0.00,0.00,0.00,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.88,0.99,2.19,2.09,0.00,2.30,3.35,0.00,2.06,0.00,0.95,0.00,1.98,0.89,0.00,0.00,0.00,0.00,0.00,0.00,1.81,0.00,0.00,0.00,0.93,0.86,0.00,0.93,0.00,3.62,0.00
Myosin regulatory light chain 2/ atrial isoform ,Q9QVP4,19 kDa,16.42,2.30,0.00,2.38,3.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.64,0.00,0.00,0.00,0.00,0.00,3.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.72,0.00,0.93,0.00,1.21,0.00
Myosin regulatory light chain 2/ skeletal muscle isoform ,P97457,19 kDa,0.00,0.00,0.00,5.94,0.00,0.00,0.00,0.00,0.00,2.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Myosin regulatory light chain 2/ ventricular/cardiac muscle isoform ,P51667,19 kDa,13.14,48.39,30.70,1.19,0.00,7.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Myosin regulatory light polypeptide 9 ,Q9CQ19,20 kDa,1.64,0.00,0.00,0.00,3.46,1.52,2.32,1.25,5.01,6.03,0.00,2.29,1.97,0.88,3.76,2.98,3.29,2.09,0.00,6.14,1.68,3.78,4.12,0.00,1.90,5.79,4.94,13.28,5.09,4.55,8.77,9.04,8.31,11.28,9.93,0.00,4.57,8.43,5.56,2.59,8.27,13.08,4.68,9.66,10.86
Myosin-10 ,Q61879,229 kDa,0.00,0.00,1.81,0.00,1.15,0.00,0.00,0.00,0.00,2.01,0.00,0.00,0.00,0.00,0.94,0.00,0.00,8.37,0.00,0.77,6.71,0.00,0.00,0.00,16.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Myosin-11 ,O08638,227 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.50,0.00,0.00,2.66,0.00,0.00,0.00,0.00,2.77,4.10,0.00,0.00,2.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.17
Myosin-14 ,Q6URW6,229 kDa,0.00,0.00,0.00,0.00,1.15,0.00,0.00,0.00,0.00,2.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.28,0.00,0.77,0.00,0.00,0.00,0.00,5.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.85,2.05,0.00,0.00,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.00,1.09
Myosin-6 ,Q02566,224 kDa,36.12,26.50,14.45,0.00,0.00,0.00,0.00,0.00,0.00,7.03,0.00,0.00,0.00,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.00,0.00,0.00,4.57,0.00,0.00,64.64,0.00,0.00,0.00,84.53,0.00
Myosin-8 ,P13542,223 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Myosin-9 ,Q8VDD5,226 kDa,0.00,0.00,0.00,2.38,1.15,0.00,0.00,2.49,0.00,9.04,2.41,3.44,0.00,0.88,1.88,0.99,0.00,15.69,0.00,6.14,15.93,0.00,1.03,0.00,20.91,0.00,0.00,3.54,0.00,0.91,0.00,0.90,5.54,5.13,0.00,0.00,8.22,0.94,0.00,2.59,0.00,1.87,0.00,0.00,0.00
Myotrophin ,P62774,13 kDa,0.00,4.61,0.00,4.76,3.46,1.52,3.48,3.74,2.50,3.01,4.81,4.59,3.94,2.64,3.76,3.97,2.19,4.19,3.28,1.53,3.35,2.83,4.12,3.29,2.85,5.79,2.96,3.54,2.54,3.64,3.90,3.62,3.70,4.10,3.61,0.00,4.57,2.81,3.71,4.31,1.50,2.80,3.12,1.21,0.00
Myristoylated alanine-rich C-kinase substrate ,P26645,30 kDa,14.78,9.22,18.06,14.27,10.39,12.16,10.45,6.23,6.26,24.11,8.42,8.03,4.93,9.66,1.88,3.97,12.07,9.42,3.28,7.67,10.90,1.89,7.21,6.57,5.70,9.10,6.91,3.54,6.78,9.09,8.77,9.04,11.09,10.26,7.22,15.67,13.70,13.11,6.49,9.48,6.76,6.54,5.46,4.83,6.52
Na(+)/H(+) exchange regulatory cofactor NHE-RF1 ,P70441,39 kDa,8.21,1.15,3.61,5.94,4.62,0.00,5.81,2.49,2.50,0.00,0.00,3.44,3.94,0.00,2.82,0.99,3.29,2.09,2.46,3.84,0.84,3.78,3.09,3.29,0.00,2.48,0.00,2.66,3.39,0.91,6.82,6.33,5.54,5.13,5.42,0.00,3.65,3.74,5.56,10.34,3.76,3.74,3.90,4.83,2.17
Na(+)/H(+) exchange regulatory cofactor NHE-RF2 ,Q9JHL1,37 kDa,0.00,0.00,0.00,0.00,4.62,1.52,6.97,7.47,3.76,7.03,6.02,4.59,5.92,4.39,3.76,8.93,5.49,9.42,1.64,0.00,5.03,6.61,6.18,0.00,2.85,7.44,3.95,11.51,13.56,13.64,20.46,18.08,12.93,19.49,13.55,12.18,5.48,8.43,14.83,10.34,9.77,13.08,13.25,16.91,16.30
N-acetylglucosamine-6-sulfatase ,Q8BFR4,61 kDa,1.64,2.30,7.22,1.19,2.31,3.04,0.00,3.74,6.26,1.00,6.02,9.18,4.93,7.03,5.64,6.95,7.68,0.00,7.39,5.37,7.54,1.89,3.09,5.75,2.85,6.62,9.88,9.74,13.56,9.09,11.69,4.52,7.39,3.08,5.42,0.00,4.57,7.49,11.12,3.45,9.77,0.93,13.25,1.21,3.26
NAD kinase 2/ mitochondrial ,Q8C5H8,51 kDa,3.28,1.15,0.00,2.38,0.00,0.00,1.16,3.74,5.01,0.00,2.41,0.00,0.99,0.88,2.82,0.99,0.00,1.05,0.82,1.53,2.51,0.94,3.09,1.64,0.95,0.00,0.00,0.00,0.00,0.00,0.00,1.81,0.00,0.00,0.00,0.00,1.83,0.00,0.93,0.00,0.75,0.00,0.00,0.00,0.00
NADH dehydrogenase (Ubiquinone) flavoprotein 3 ,Q91WP8,51 kDa,0.00,0.00,0.00,0.00,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.83,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 ,Q9DCJ5,20 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.49,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.00,2.09,0.00,0.00,0.84,0.00,1.03,0.00,0.95,0.00,0.99,0.00,0.00,1.82,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.09
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 ,Q9DCS9,21 kDa,3.28,1.15,1.81,3.57,1.15,1.52,1.16,3.74,1.25,2.01,2.41,4.59,3.94,6.15,4.70,3.97,0.00,5.23,3.28,5.37,4.19,3.78,2.06,4.93,1.90,3.31,1.98,0.00,5.09,0.91,0.00,0.00,1.85,0.00,0.00,1.74,3.65,3.74,1.85,2.59,3.01,0.93,1.56,0.00,0.00
NADH dehydrogenase [ubiquinone] flavoprotein 1/ mitochondrial ,Q91YT0,51 kDa,4.93,8.06,0.00,4.76,3.46,0.00,2.32,0.00,0.00,0.00,1.20,0.00,0.00,1.76,8.46,2.98,0.00,0.00,2.46,9.98,0.00,0.00,1.03,1.64,0.95,0.00,0.99,0.00,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.74,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00
NADH dehydrogenase [ubiquinone] flavoprotein 2/ mitochondrial ,Q9D6J6,27 kDa,0.00,2.30,3.61,3.57,6.93,10.64,4.65,4.98,2.50,1.00,2.41,1.15,1.97,4.39,3.76,0.00,2.19,2.09,0.00,5.37,1.68,1.89,5.15,0.82,3.80,1.65,6.91,1.77,4.24,2.73,3.90,0.00,0.00,5.13,2.71,0.00,3.65,2.81,3.71,4.31,5.26,3.74,5.46,0.00,3.26
NADH dehydrogenase [ubiquinone] iron-sulfur protein 6/ mitochondrial ,P52503,13 kDa,4.93,1.15,9.03,4.76,3.46,3.04,3.48,3.74,2.50,0.00,7.22,4.59,0.00,2.64,5.64,0.99,7.68,0.00,6.57,6.91,4.19,3.78,3.09,4.11,0.00,2.48,0.00,0.89,0.00,2.73,1.95,1.81,1.85,1.03,0.00,0.00,8.22,7.49,7.41,5.17,7.52,3.74,3.90,0.00,3.26
NADH-ubiquinone oxidoreductase 75 kDa subunit/ mitochondrial ,Q91VD9,80 kDa,3.28,16.13,0.00,2.38,2.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.99,0.00,0.00,0.82,3.84,0.00,0.00,2.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,1.81,0.00,1.03,0.00,0.00,1.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Naglu ,O54752 (+1),83 kDa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.49,0.00,5.02,1.20,2.29,0.99,0.00,0.94,0.00,1.10,0.00,1.64,0.00,0.00,0.00,0.00,0.82,0.00,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.92,0.00,0.00,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Napsin-A ,O09043 (+1),46 kDa,0.00,0.00,0.00,0.00,1.15,0.00,0.00,6.23,2.50,3.01,0.00,1.15,2.96,0.00,1.88,0.99,1.10,0.00,4.11,3.07,0.00,0.00,0.00,1.64,1.90,2.48,2.96,0.00,3.39,1.82,0.00,4.52,1.85,2.05,0.90,0.00,3.65,4.68,7.41,5.17,2.25,1.87,2.34,0.00,2.17
